Gain
18
FMax
0
FMin
0
Beamwidth
0
Electrical
2
102	28.4
103	28.7
104	29.1
105	29.5
106	30
107	30.7
108	31.5
109	32.4
110	33.4
111	34.3
112	35.2
113	36.1
114	37
115	38
116	38.7
117	39.5
118	39.9
119	39.8
120	39.3
121	38.5
122	37.8
123	37.2
124	37
125	37
126	37.3
127	38.1
128	38.9
129	40.2
130	42
131	43.3
132	44.5
133	45.5
134	45.3
135	44.7
136	43.6
137	42.3
138	41.6
139	40.9
140	40.5
141	40.4
142	40.7
143	41.6
144	43.8
145	46.8
146	54.8
147	79.1
148	50.3
149	50.5
150	48
151	49.2
152	52.8
153	56.6
154	55.6
155	47.3
156	43
157	40.4
158	38.6
159	37.9
160	37.5
161	37.6
162	38.5
163	40.2
164	42.6
165	46.7
166	49.2
167	48.4
168	48.4
169	58.2
170	60.5
171	44.1
172	41.2
173	38.8
174	37.9
175	37.8
176	38.3
177	39.9
178	42.2
179	49.9
180	51.6
181	44.5
182	41.4
183	39.8
184	39.6
185	40.4
186	41.6
187	44.8
188	48.5
189	46.9
190	41.7
191	39
192	37.3
193	37
194	36.9
195	37.2
196	37.1
197	36.9
198	36
199	35.3
200	34.8
201	35
202	36.2
203	37.4
204	39.7
205	41.5
206	42.3
207	42.1
208	42.1
209	43.2
210	45.7
211	49.9
212	49.1
213	45.2
214	44
215	43.5
216	43.7
217	44.7
218	45.6
219	48.2
220	53.8
221	60.2
222	50.7
223	47.5
224	44.4
225	42.8
226	41.6
227	40.7
228	40.8
229	42.2
230	43.6
231	44
232	43.6
233	43.5
234	44.6
235	47.7
236	52.3
237	55.3
238	54.3
239	48.7
240	45.7
241	43.7
242	41.9
243	40.7
244	40.3
245	40.1
246	40.5
247	41.4
248	42.8
249	45.1
250	48.6
251	52.9
252	52
253	49.7
254	48.7
255	48.5
256	50.9
257	53.8
258	66.5
259	54.9
260	47.9
261	44.5
262	42.4
263	40.6
264	40
265	39.6
266	39.2
267	39.3
268	38.8
269	38.5
270	38.1
271	37.8
272	37.4
273	36.8
274	36.2
275	35.5
276	34.9
277	34.5
278	34.2
279	34
280	34
281	33.9
282	34
283	34.2
284	34.4
285	34.5
286	34.6
287	34.8
288	34.8
289	34.8
290	34.9
291	34.9
292	34.9
293	34.8
294	34.6
295	34.6
296	34.5
297	34.4
298	34.5
299	34.3
300	34.4
301	34.5
302	34.7
303	34.6
304	34.6
305	34.6
306	34.6
307	34.6
308	34.8
309	34.5
310	34.2
311	33.9
312	33.6
313	33.2
314	32.8
315	32.5
316	32.2
317	32
318	32.1
319	32.4
320	32.7
321	33.1
322	33.8
323	35
324	36.9
325	39.5
326	42
327	40.6
328	36.4
329	33.3
330	31.1
331	30
332	29.8
333	30.6
334	32.6
335	37.8
336	41.4
337	36.2
338	31.3
339	29.8
340	29.5
341	31.1
342	35.3
343	36.9
344	31.9
345	28
346	26.2
347	25.9
348	26.6
349	27.8
350	27.8
351	26.3
352	25.3
353	24.8
354	21.8
355	16.4
356	11.4
357	7.9
358	5
359	2.9

